Netflix Movie Ratings Extractor (Includes IMDB Movie Data Lookup)

Title	Rating	
Star Wars: Episode VI: Return of the Jedi	4	
The Station Agent	4	
Tae Guk Gi: The Brotherhood of War	4	
Taxi Driver	4	
Tekkon Kinkreet	4	
Thank You for Smoking	4	
Training Day	4	
Volver	4	
Wedding Crashers	4	
X-Men	4	
Zodiac	4	
13 Tzameti	3	
28 Weeks Later	3	
American Gangster	3	
Anchorman: The Legend of Ron Burgundy	3	
Armageddon	3	
Atonement	3	
Batman: Gotham Knight	3	
Big Momma's House	3	
Bruce Almighty	3	
Coach Carter	3	
The Da Vinci Code	3	
The Day After Tomorrow	3	
Déjà Vu	3	
The Fast and the Furious	3	
Fireworks	3	
A Fistful of Dollars	3	
For a Few Dollars More	3	
Futurama the Movie: Bender's Big Score	3	
Gone in 60 Seconds	3	
Grindhouse: Death Proof	3	
Hard Boiled	3	
I Am Legend	3	
I, Robot	3	
The Incredible Hulk	3	
Indiana Jones/Kingdom of the Crystal Skull	3	
Italian for Beginners	3	
Jet Li's Fearless	3	
Kiss Kiss Bang Bang	3	
Last Life in the Universe	3	
The League of Extraordinary Gentlemen	3	
Live Free or Die Hard	3	
Meet the Fockers	3	
Miss Congeniality	3	
Mr. Deeds	3	
The Mummy Returns	3	
Napoleon Dynamite	3	
S.W.A.T.	3	
Smokin' Aces	3	
Star Wars: Episode II	3	
Sunshine	3	
Tell No One	3	
U.S. Marshals	3	
Wanted	3	
X-Men 3: The Last Stand	3	
Zoolander	3	
21	2	
Aqua Teen Hunger Force Colon Movie	2	
Blades of Glory	2	
Fantastic Four	2	
The Longest Yard	2	
Matchstick Men	2	
Mr. and Mrs. Smith	2	
RocknRolla	2	
Sideways	2	
Star Wars: Episode I: The Phantom Menace	2	
Talladega Nights	2	
Guess Who	1	
Turistas	1	
You Don't Mess with the Zohan	1	
Done.
Processed 15 pages.  Added 294 ratings.
Script took 24 seconds.
